station_id,name,owner,deployment_notes,has_realtime2,has_fiveday2,no_recent_data,preferred_data_source
14048,Station 14048,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 S 65.000 E (8°0'0"" S 65°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 S 65.000 E (8°0'0"" S 65°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
14049,Station 14049,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
12.000 S 65.000 E (12°0'0"" S 65°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
12.000 S 65.000 E (12°0'0"" S 65°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
15001,Station 15001  - Gavotte,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
10.000 S 10.000 W (10°0'0"" S 10°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
10.000 S 10.000 W (10°0'0"" S 10°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
15002,Station 15002  - Java,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
0.000 N 10.000 W (0°0'0"" N 10°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
0.000 N 10.000 W (0°0'0"" N 10°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
15006,Station 15006  - Valse,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
6.000 S 10.000 W (6°0'0"" S 10°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
6.000 S 10.000 W (6°0'0"" S 10°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
15007,Station 15007  - SE Extension,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
6.000 S 8.000 E (6°0'0"" S 8°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
6.000 S 8.000 E (6°0'0"" S 8°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
15008,Station 15008,"the  PIRATA Prediction and Research Moored Array in the Atlantic
20.000 S 10.000 W (20°0'0"" S 10°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
20.000 S 10.000 W (20°0'0"" S 10°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
15009,Station 15009,"the  PIRATA Prediction and Research Moored Array in the Atlantic
0.000 N 3.051 W (0°0'0"" N 3°3'3"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
0.000 N 3.051 W (0°0'0"" N 3°3'3"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
1801583,"Station 1801583  - SD 1063 - 24 NM SSW of San Francisco, CA (Site of 46012)",Unknown,No deployment notes found,False,False,True,none
1801589,"Station 1801589  - SD 1073 - 24 NM SSW of San Francisco, CA (Site of 46012)",Unknown,No deployment notes found,False,False,False,none
1801593,"Station 1801593  - SD 1077 - 24 NM SSW of San Francisco, CA (Site of 46012)",Unknown,No deployment notes found,False,False,True,none
18CI3,"Station 18CI3  - Michigan City CG Station, IN",Unknown,No deployment notes found,False,False,True,none
18CY3,"Station 18CY3  - Michigan City, IN","National Weather Service Central Region
C-MAN Station
41.730 N 86.910 W (41°43'48"" N 86°54'36"" W)","Owned and maintained by National Weather Service Central Region
C-MAN Station
41.730 N 86.910 W (41°43'48"" N 86°54'36"" W)",False,False,True,none
20CM4,"Station 20CM4  - St. Joseph CG Station, MI",Unknown,No deployment notes found,False,False,True,none
21178,Station 21178  - South of Shikoku,"Japanese Meteorological Agency
Buoy
33.120 N 133.620 E (33°7'12"" N 133°37'12"" E)","Owned and maintained by Japanese Meteorological Agency
Buoy
33.120 N 133.620 E (33°7'12"" N 133°37'12"" E)",False,False,True,none
21346,"Station 21346  - 21346  380km East of Iwate, Japan","Japanese Meteorological Agency
STB - SAIC Tsunami Buoy
STB payload
40.302 N 146.192 E (40°18'9"" N 146°11'32"" E)

Water depth: 5125 m","Owned and maintained by Japanese Meteorological Agency
STB - SAIC Tsunami Buoy
STB payload
40.302 N 146.192 E (40°18'9"" N 146°11'32"" E)

Water depth: 5125 m",False,False,False,none
21347,"Station 21347  - 21347  320km East of Iwate, Japan","Japanese Meteorological Agency
STB - SAIC Tsunami Buoy
STB payload
39.601 N 145.799 E (39°36'5"" N 145°47'58"" E)

Water depth: 5183 m","Owned and maintained by Japanese Meteorological Agency
STB - SAIC Tsunami Buoy
STB payload
39.601 N 145.799 E (39°36'5"" N 145°47'58"" E)

Water depth: 5183 m",False,False,False,none
21348,"Station 21348  - 21348   350km East of Miyagi, Japan","Japanese Meteorological Agency
STB - SAIC Tsunami Buoy
STB payload
38.816 N 145.595 E (38°48'58"" N 145°35'42"" E)

Water depth: 5201 m","Owned and maintained by Japanese Meteorological Agency
STB - SAIC Tsunami Buoy
STB payload
38.816 N 145.595 E (38°48'58"" N 145°35'42"" E)

Water depth: 5201 m",False,False,False,none
21401,Station 21401  - 250NM Southeast of Iturup Island,"Russian HYDROMET, the Far Eastern Regional Hydrometeorological Research Institute (FERHRI)
STB - SAIC Tsunami Buoy
STB payload
42.617 N 152.583 E (42°37'0"" N 152°35'0"" E)","Owned and maintained by Russian HYDROMET, the Far Eastern Regional Hydrometeorological Research Institute (FERHRI)
STB - SAIC Tsunami Buoy
STB payload
42.617 N 152.583 E (42°37'0"" N 152°35'0"" E)",False,False,False,none
21402,Station 21402  - 286NM East of Simushir Island,"Russian HYDROMET, the Far Eastern Regional Hydrometeorological Research Institute (FERHRI)
ETD
ETD payload
46.488 N 158.343 E (46°29'15"" N 158°20'36"" E)

Water depth: 5150 m","Owned and maintained by Russian HYDROMET, the Far Eastern Regional Hydrometeorological Research Institute (FERHRI)
ETD
ETD payload
46.488 N 158.343 E (46°29'15"" N 158°20'36"" E)

Water depth: 5150 m",False,False,False,none
21413,"Station 21413  - SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP","National Data Buoy Center
2.6-meter discus buoy
DART II payload
30.492 N 152.085 E (30°29'31"" N 152°5'6"" E)

Site elevation: sea level
Water depth: 5867 m","Owned and maintained by National Data Buoy Center
2.6-meter discus buoy
DART II payload
30.492 N 152.085 E (30°29'31"" N 152°5'6"" E)

Site elevation: sea level
Water depth: 5867 m",False,False,False,none
21414,"Station 21414 (LLNR 984.8) - AMCHITKA - 170 NM South of Amchitka, AK","National Data Buoy Center
2.6-meter discus buoy
DART II payload
48.970 N 178.165 E (48°58'12"" N 178°9'54"" E)

Water depth: 5200 m
Watch circle radius: 3942 yards","Owned and maintained by National Data Buoy Center
2.6-meter discus buoy
DART II payload
48.970 N 178.165 E (48°58'12"" N 178°9'54"" E)

Water depth: 5200 m
Watch circle radius: 3942 yards",False,False,False,none
21415,"Station 21415 (LLNR 984.85) - ATTU - 175 NM South of Attu, AK","National Data Buoy Center
2.6-meter discus buoy
DART II payload
50.120 N 171.867 E (50°7'12"" N 171°52'1"" E)

Water depth: 4775 m
Watch circle radius: 5280 yards","Owned and maintained by National Data Buoy Center
2.6-meter discus buoy
DART II payload
50.120 N 171.867 E (50°7'12"" N 171°52'1"" E)

Water depth: 4775 m
Watch circle radius: 5280 yards",False,False,False,none
21416,"Station 21416  - KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU","National Data Buoy Center
2.6-meter discus buoy
DART II payload
48.120 N 163.430 E (48°7'12"" N 163°25'48"" E)

Site elevation: sea level
Water depth: 5812 m
Watch circle radius: 4066 yards","Owned and maintained by National Data Buoy Center
2.6-meter discus buoy
DART II payload
48.120 N 163.430 E (48°7'12"" N 163°25'48"" E)

Site elevation: sea level
Water depth: 5812 m
Watch circle radius: 4066 yards",False,False,False,none
21417,Station 21417  - 290NM SE of the Kuril Islands,"National Data Buoy Center
2.6-meter discus buoy
DART II payload
43.192 N 157.142 E (43°11'30"" N 157°8'30"" E)

Site elevation: sea level
Water depth: 5516 m","Owned and maintained by National Data Buoy Center
2.6-meter discus buoy
DART II payload
43.192 N 157.142 E (43°11'30"" N 157°8'30"" E)

Site elevation: sea level
Water depth: 5516 m",False,False,False,none
21418,"Station 21418  - NORTHEAST TOKYO - 450 NM NE of Tokyo, JP","National Data Buoy Center
2.6-meter discus buoy
DART II payload
38.730 N 148.800 E (38°43'48"" N 148°48'0"" E)

Site elevation: sea level
Water depth: 5664 m
Watch circle radius: 4034 yards","Owned and maintained by National Data Buoy Center
2.6-meter discus buoy
DART II payload
38.730 N 148.800 E (38°43'48"" N 148°48'0"" E)

Site elevation: sea level
Water depth: 5664 m
Watch circle radius: 4034 yards",False,False,False,none
21419,Station 21419  - KURIL ISLANDS - 209NM SE of Kuril Is.,"National Data Buoy Center
2.6-meter discus buoy
DART II payload
44.401 N 155.653 E (44°24'4"" N 155°39'12"" E)

Water depth: 5325 m","Owned and maintained by National Data Buoy Center
2.6-meter discus buoy
DART II payload
44.401 N 155.653 E (44°24'4"" N 155°39'12"" E)

Water depth: 5325 m",False,False,False,none
21420,Station 21420  - SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki,"National Data Buoy Center
2.6-meter discus buoy
DART II payload
28.910 N 134.999 E (28°54'36"" N 134°59'55"" E)

Water depth: 4877 m
Watch circle radius: 3667 yards","Owned and maintained by National Data Buoy Center
2.6-meter discus buoy
DART II payload
28.910 N 134.999 E (28°54'36"" N 134°59'55"" E)

Water depth: 4877 m
Watch circle radius: 3667 yards",False,False,False,none
21595,Station 21595  - Drifter,"Japanese Meteorological Agency
Drifting Buoy","Owned and maintained by Japanese Meteorological Agency
Drifting Buoy",False,False,True,none
21597,Station 21597  - Drifter,"Japanese Meteorological Agency
Drifting Buoy","Owned and maintained by Japanese Meteorological Agency
Drifting Buoy",False,False,True,none
21598,Station 21598  - Drifter,"Japanese Meteorological Agency
Drifting Buoy","Owned and maintained by Japanese Meteorological Agency
Drifting Buoy",False,False,True,none
21600,Station 21600  - Drifter,"Japanese Meteorological Agency
Drifting Buoy","Owned and maintained by Japanese Meteorological Agency
Drifting Buoy",False,False,True,none
21636,Station 21636  - Drifter,"Japanese Meteorological Agency
Drifting Buoy","Owned and maintained by Japanese Meteorological Agency
Drifting Buoy",False,False,True,none
21637,Station 21637  - Drifter,"Japanese Meteorological Agency
Drifting Buoy","Owned and maintained by Japanese Meteorological Agency
Drifting Buoy",False,False,True,none
21640,Station 21640  - Drifter,"Japanese Meteorological Agency
Drifting Buoy","Owned and maintained by Japanese Meteorological Agency
Drifting Buoy",False,False,True,none
21707,Station 21707,"Japanese Meteorological Agency
Drifting Buoy","Owned and maintained by Japanese Meteorological Agency
Drifting Buoy",False,False,True,none
22101,Station 22101,Unknown,No deployment notes found,False,False,False,none
22102,Station 22102,Unknown,No deployment notes found,False,False,False,none
22103,Station 22103,Unknown,No deployment notes found,False,False,False,none
22104,Station 22104,Unknown,No deployment notes found,False,False,False,none
22105,Station 22105,Unknown,No deployment notes found,False,False,False,none
22106,Station 22106,Unknown,No deployment notes found,False,False,False,none
22107,Station 22107,Unknown,No deployment notes found,False,False,True,none
22108,Station 22108,Unknown,No deployment notes found,False,False,False,none
23001,Station 23001,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
0.000 N 81.000 E (0°0'0"" N 81°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
0.000 N 81.000 E (0°0'0"" N 81°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
23003,Station 23003,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
2.000 S 81.000 E (2°0'0"" S 81°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
2.000 S 81.000 E (2°0'0"" S 81°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
23004,Station 23004,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
0.000 N 90.000 E (0°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
0.000 N 90.000 E (0°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
23006,Station 23006,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
4.000 N 90.000 E (4°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
4.000 N 90.000 E (4°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
23007,Station 23007,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 N 90.000 E (8°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 N 90.000 E (8°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
23008,Station 23008,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
12.000 N 90.000 E (12°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
12.000 N 90.000 E (12°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
23009,Station 23009,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
15.000 N 90.000 E (15°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
15.000 N 90.000 E (15°0'0"" N 90°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
23010,Station 23010,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
4.000 S 81.000 E (4°0'0"" S 81°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
4.000 S 81.000 E (4°0'0"" S 81°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
23011,Station 23011,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
15.000 N 65.000 E (15°0'0"" N 65°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
15.000 N 65.000 E (15°0'0"" N 65°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
23012,Station 23012,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 N 67.000 E (8°0'0"" N 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 N 67.000 E (8°0'0"" N 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
23013,Station 23013,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
4.000 N 67.000 E (4°0'0"" N 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
4.000 N 67.000 E (4°0'0"" N 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
23014,Station 23014,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
2.000 N 67.000 E (2°0'0"" N 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
2.000 N 67.000 E (2°0'0"" N 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
23015,Station 23015,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
0.000 N 67.000 E (0°0'0"" N 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
0.000 N 67.000 E (0°0'0"" N 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
23016,Station 23016,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
2.000 S 67.000 E (2°0'0"" S 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
2.000 S 67.000 E (2°0'0"" S 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
