owner,preferred_data_source,station_count
"COMPS (University of South Florida)
Offshore Buoy
26.010 N 83.086 W (26°0'36"" N 83°5'10"" W)

Site elevation: sea level
Air temp height: 2 m above site elevation
Anemometer height: 3.1 m above site elevation
Barometer elevation: 1.9 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 50 m",realtime2,1
"COMPS (University of South Florida)
Offshore Buoy
27.173 N 82.924 W (27°10'23"" N 82°55'26"" W)

Site elevation: sea level
Air temp height: 2 m above site elevation
Anemometer height: 3.1 m above site elevation
Barometer elevation: 1.9 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 25 m",realtime2,1
"COMPS (University of South Florida)
Offshore Buoy
27.464 N 84.219 W (27°27'50"" N 84°13'8"" W)

Site elevation: sea level
Air temp height: 2.8 m above site elevation
Anemometer height: 3.2 m above site elevation
Barometer elevation: 2.8 m above mean sea level
Sea temp depth: 1.2 m below water line
Water depth: 75 m",none,1
"COMPS (University of South Florida)
Offshore Buoy
27.505 N 83.741 W (27°30'18"" N 83°44'28"" W)

Site elevation: sea level
Air temp height: 2 m above site elevation
Anemometer height: 3.1 m above site elevation
Barometer elevation: 1.9 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 50 m",realtime2,1
"COMPS (University of South Florida)
Offshore Buoy
28.311 N 83.306 W (28°18'40"" N 83°18'22"" W)

Site elevation: sea level
Air temp height: 1 m above site elevation
Anemometer height: 2.8 m above site elevation
Barometer elevation: 1.2 m above mean sea level",none,1
"COMPS (University of South Florida)
Offshore Tower
25.084 N 81.096 W (25°5'2"" N 81°5'46"" W)

Site elevation: sea level
Air temp height: 3.4 m above site elevation
Anemometer height: 5.5 m above site elevation
Barometer elevation: 3.4 m above mean sea level
Sea temp depth: 0.6 m below MLLW",none,1
"COMPS (University of South Florida)
Offshore Tower
28.772 N 82.707 W (28°46'20"" N 82°42'26"" W)

Site elevation: sea level
Air temp height: 5.4 m above site elevation
Anemometer height: 6.6 m above site elevation
Barometer elevation: 5.4 m above mean sea level",none,1
"COMPS (University of South Florida)
Shorebased Tower
26.404 N 81.881 W (26°24'16"" N 81°52'52"" W)

Site elevation: sea level
Air temp height: 16.6 m above site elevation
Anemometer height: 17.3 m above site elevation
Barometer elevation: 16.6 m above mean sea level",none,1
"COMPS (University of South Florida)
Shorebased Tower
27.538 N 82.739 W (27°32'18"" N 82°44'22"" W)

Site elevation: sea level
Air temp height: 7.8 m above site elevation
Anemometer height: 10.8 m above site elevation
Barometer elevation: 7.8 m above mean sea level",none,1
"COMPS (University of South Florida)
Shorebased Tower
27.601 N 82.759 W (27°36'5"" N 82°45'33"" W)

Site elevation: sea level
Anemometer height: 10 m above site elevation
Sea temp depth: 0.6 m below MLLW",none,1
"COMPS (University of South Florida)
Shorebased Tower
27.736 N 82.686 W (27°44'10"" N 82°41'10"" W)

Site elevation: sea level
Air temp height: 10.3 m above site elevation
Anemometer height: 11 m above site elevation
Barometer elevation: 10.2 m above mean sea level
Sea temp depth: 1 m below MLLW",none,1
"COMPS (University of South Florida)
Shorebased Tower
27.765 N 82.649 W (27°45'52"" N 82°38'56"" W)",none,1
"COMPS (University of South Florida)
Shorebased Tower
28.153 N 82.801 W (28°9'11"" N 82°48'4"" W)

Site elevation: sea level
Air temp height: 5.4 m above site elevation
Anemometer height: 9.4 m above site elevation
Barometer elevation: 5.3 m above mean sea level
Sea temp depth: 0.6 m below MLLW",none,1
"COMPS (University of South Florida)
Shorebased Tower
28.156 N 82.758 W (28°9'20"" N 82°45'29"" W)

Site elevation: sea level
Air temp height: 5.7 m above site elevation
Anemometer height: 7 m above site elevation
Barometer elevation: 5.7 m above mean sea level",none,1
"COMPS (University of South Florida)
Shorebased Tower
28.193 N 82.789 W (28°11'34"" N 82°47'19"" W)

Site elevation: sea level
Sea temp depth: 1 m below MLLW",none,1
"COMPS (University of South Florida)
Shorebased Tower
28.285 N 82.733 W (28°17'6"" N 82°43'57"" W)

Site elevation: sea level
Air temp height: 4.8 m above site elevation
Anemometer height: 10.1 m above site elevation
Barometer elevation: 4.8 m above mean sea level",none,1
"COMPS (University of South Florida)
Shorebased Tower
28.433 N 82.667 W (28°25'59"" N 82°40'1"" W)

Site elevation: sea level
Air temp height: 6.9 m above site elevation
Anemometer height: 11.2 m above site elevation
Barometer elevation: 6.7 m above mean sea level
Sea temp depth: 0.1 m below MLLW",realtime2,1
"COMPS (University of South Florida)
Shorebased Tower
30.058 N 84.291 W (30°3'29"" N 84°17'28"" W)

Site elevation: sea level
Air temp height: 11.9 m above site elevation
Anemometer height: 5.7 m above site elevation
Barometer elevation: 5.4 m above mean sea level
Sea temp depth: 0.6 m below MLLW",none,1
"CORIE
C-MAN Station
46.214 N 123.620 W (46°12'51"" N 123°37'12"" W)

Anemometer height: 7 m above site elevation",none,1
"California Polytechnic State University
Coastal Marine Station
35.170 N 120.741 W (35°10'12"" N 120°44'27"" W)

Site elevation: sea level
Air temp height: 15 m above site elevation
Anemometer height: 15 m above site elevation
Barometer elevation: 15 m above mean sea level
Sea temp depth: 1 m below MLLW",realtime2,1
"California Polytechnic State University
Water Quality Station
35.371 N 120.859 W (35°22'15"" N 120°51'31"" W)

Sea temp depth: 1.8 m below MLLW",realtime2,1
"California State University, East Bay
CICORE water quality station
37.507 N 122.117 W (37°30'25"" N 122°7'0"" W)

Site elevation: sea level",none,1
"California State University, East Bay
CICORE water quality station
37.696 N 122.192 W (37°41'45"" N 122°11'32"" W)

Site elevation: sea level",none,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Moored Buoy
17.870 N 66.537 W (17°52'12"" N 66°32'13"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 18.9 m
Watch circle radius: 60 yards",realtime2,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Moored Buoy
18.249 N 64.763 W (18°14'56"" N 64°45'48"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 44 m
Watch circle radius: 66 yards",realtime2,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Moored Buoy
18.257 N 65.004 W (18°15'26"" N 65°0'14"" W)

Site elevation: sea level
Air temp height: 4 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 2 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 32 m
Watch circle radius: 60 yards",none,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Moored Buoy
18.261 N 65.464 W (18°15'40"" N 65°27'51"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 30 m
Watch circle radius: 60 yards",realtime2,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Moored Buoy
18.474 N 66.099 W (18°28'27"" N 66°5'58"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 32 m
Watch circle radius: 60 yards",realtime2,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Moored Buoy
18.476 N 65.157 W (18°28'34"" N 65°9'25"" W)

Site elevation: sea level
Air temp height: 4 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 2 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 40 m
Watch circle radius: 60 yards",none,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Waverider Buoy
18.490 N 66.701 W (18°29'24"" N 66°42'2"" W)

Site elevation: sea level
Sea temp depth: 0.46 m below water line
Water depth: 32 m",none,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Weather Station
17.969 N 67.044 W (17°58'10"" N 67°2'39"" W)

Site elevation: 14.56 m above mean sea level
Air temp height: 2 m above site elevation
Anemometer height: 7.8 m above site elevation
Barometer elevation: 2 m above mean sea level",none,1
"Caribbean Integrated Coastal Ocean Observing System (CarICOOS)
Weather Station
18.367 N 67.251 W (18°22'1"" N 67°15'4"" W)

Anemometer height: 15 m above site elevation",none,1
"Caro-COOPS: Carolinas Coastal Ocean Observing and Prediction System
Offshore Buoy
32.520 N 79.340 W (32°31'12"" N 79°20'24"" W)

Anemometer height: 3 m above site elevation",none,1
"Caro-COOPS: Carolinas Coastal Ocean Observing and Prediction System
Offshore Buoy
33.302 N 78.137 W (33°18'7"" N 78°8'14"" W)

Anemometer height: 3 m above site elevation",none,1
"Caro-COOPS: Carolinas Coastal Ocean Observing and Prediction System
Weather Station
33.865 N 78.507 W (33°51'54"" N 78°30'24"" W)",none,1
"Central and Northern California Ocean Observing System
Coastal Marine Station
37.892 N 122.447 W (37°53'29"" N 122°26'48"" W)

Site elevation: 5 m above mean sea level
Air temp height: 2 m above site elevation
Anemometer height: 10 m above site elevation
Barometer elevation: 6 m above mean sea level
Sea temp depth: 1 m below MLLW",realtime2,1
"Central and Northern California Ocean Observing System
Water Quality Station
36.605 N 121.889 W (36°36'18"" N 121°53'21"" W)",none,1
"Central and Northern California Ocean Observing System
Water Quality Station
38.066 N 122.230 W (38°3'57"" N 122°13'49"" W)",none,1
"Central and Northern California Ocean Observing System
Water Quality Station
40.777 N 124.197 W (40°46'39"" N 124°11'47"" W)",realtime2,1
"Central and Northern California Ocean Observing System
Water Quality Station
41.055 N 124.147 W (41°3'18"" N 124°8'49"" W)",realtime2,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
36.846 N 76.298 W (36°50'44"" N 76°17'53"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",none,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
36.998 N 76.087 W (36°59'53"" N 76°5'14"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",none,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
37.201 N 76.266 W (37°12'2"" N 76°15'58"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",realtime2,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
37.211 N 76.787 W (37°12'41"" N 76°47'12"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",none,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
37.314 N 77.191 W (37°18'50"" N 77°11'28"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",none,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
37.567 N 76.257 W (37°34'2"" N 76°15'27"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",realtime2,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
38.033 N 76.335 W (38°1'59"" N 76°20'8"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",realtime2,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
38.556 N 76.415 W (38°33'23"" N 76°24'53"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",realtime2,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
38.788 N 77.036 W (38°47'16"" N 77°2'9"" W)

Site elevation: sea level
Air temp height: 2 m above site elevation
Anemometer height: 2 m above site elevation
Barometer elevation: 2 m above mean sea level
Sea temp depth: 0.5 m below water line",none,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
38.963 N 76.448 W (38°57'47"" N 76°26'51"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",realtime2,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
39.152 N 76.391 W (39°9'7"" N 76°23'28"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line
Water depth: 6.1 m",none,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
39.223 N 76.528 W (39°13'22"" N 76°31'42"" W)

Site elevation: sea level
Air temp height: 2 m above site elevation
Anemometer height: 2 m above site elevation
Barometer elevation: 2 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 6.8 m",realtime2,1
"Chesapeake Bay Interpretive Buoy System
Moored Buoy
39.540 N 76.074 W (39°32'25"" N 76°4'25"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 1 m above mean sea level
Sea temp depth: 0.5 m below water line",none,1
"Chesapeake Biological Laboratory
Coastal Marine Station
38.317 N 76.451 W (38°19'2"" N 76°27'3"" W)",none,1
"Chesapeake Biological Laboratory
Moored Buoy
38.389 N 76.526 W (38°23'19"" N 76°31'35"" W)",none,1
"Chicago Park District
Buoy
41.714 N 87.527 W (41°42'52"" N 87°31'38"" W)

Site elevation: 176 m above mean sea level
Sea temp depth: 1 m below water line",none,1
"Chicago Park District
Buoy
41.783 N 87.573 W (41°46'58"" N 87°34'23"" W)

Site elevation: 176 m above mean sea level
Sea temp depth: 1 m below water line",none,1
"Chicago Park District
Buoy
41.894 N 87.613 W (41°53'39"" N 87°36'47"" W)

Site elevation: 176 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 1.8 m",none,1
"Chicago Park District
Buoy
41.903 N 87.622 W (41°54'12"" N 87°37'20"" W)

Site elevation: 176 m above mean sea level
Sea temp depth: 1 m below water line",none,1
"Chicago Park District
Buoy
41.968 N 87.637 W (41°58'4"" N 87°38'14"" W)

Site elevation: 176 m above mean sea level
Sea temp depth: 1 m below water line",none,1
"Chicago Park District
Buoy
41.979 N 87.649 W (41°58'45"" N 87°38'55"" W)

Site elevation: 176 m above mean sea level
Sea temp depth: 1 m below water line",none,1
"Chicago Park District
C-MAN Station
41.781 N 87.573 W (41°46'50"" N 87°34'23"" W)

Site elevation: 179 m above mean sea level",none,1
"Chicago Park District
C-MAN Station
41.912 N 87.624 W (41°54'44"" N 87°37'25"" W)

Site elevation: 179 m above mean sea level",realtime2,1
"Chicago Park District
C-MAN Station
41.976 N 87.648 W (41°58'35"" N 87°38'51"" W)

Site elevation: 179 m above mean sea level",none,1
"Coastal Ocean Research and Monitoring Program (CORMP)
C-MAN Station
33.911 N 78.147 W (33°54'39"" N 78°8'50"" W)

Anemometer height: 12.2 m above site elevation
Sea temp depth: 1 m below MLLW
Water depth: 7 m",none,1
"Coastal Ocean Research and Monitoring Program (CORMP)
C-MAN Station
34.091 N 77.868 W (34°5'26"" N 77°52'4"" W)

Site elevation: 2.8 m above mean sea level
Air temp height: 3.4 m above site elevation
Anemometer height: 3.4 m above site elevation
Barometer elevation: 3.4 m above mean sea level",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
C-MAN Station
34.171 N 77.824 W (34°10'16"" N 77°49'25"" W)

Site elevation: 2.2 m above mean sea level
Air temp height: 3.4 m above site elevation
Anemometer height: 3.4 m above site elevation
Barometer elevation: 5.6 m above mean sea level",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
27.593 N 80.189 W (27°35'36"" N 80°11'22"" W)

Site elevation: sea level
Air temp height: 2.9 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 2.9 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 18.3 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
29.289 N 80.803 W (29°17'20"" N 80°48'10"" W)

Site elevation: sea level
Air temp height: 2.9 m above site elevation
Anemometer height: 3 m above site elevation
Barometer elevation: 2.9 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 24.4 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
29.289 N 80.803 W (29°17'20"" N 80°48'10"" W)

Site elevation: sea level
Water depth: 24.4 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
32.276 N 80.406 W (32°16'32"" N 80°24'22"" W)

Site elevation: sea level
Water depth: 13.7 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
32.279 N 80.406 W (32°16'44"" N 80°24'23"" W)

Site elevation: sea level
Air temp height: 2.79 m above site elevation
Anemometer height: 2.95 m above site elevation
Barometer elevation: 2.79 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 10 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
32.536 N 79.656 W (32°32'10"" N 79°39'21"" W)

Site elevation: sea level
Air temp height: 2.85 m above site elevation
Anemometer height: 2.95 m above site elevation
Barometer elevation: 2.85 m above mean sea level
Water depth: 19.8 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
32.536 N 79.659 W (32°32'11"" N 79°39'32"" W)

Site elevation: sea level
Water depth: 19.8 m",none,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
32.802 N 79.619 W (32°48'6"" N 79°37'8"" W)

Site elevation: sea level
Water depth: 11 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
32.803 N 79.624 W (32°48'12"" N 79°37'26"" W)

Site elevation: sea level
Air temp height: 2.79 m above site elevation
Anemometer height: 2.95 m above site elevation
Barometer elevation: 2.79 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 10 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
33.837 N 78.477 W (33°50'14"" N 78°28'36"" W)

Site elevation: sea level
Air temp height: 2.79 m above site elevation
Anemometer height: 2.95 m above site elevation
Barometer elevation: 2.79 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 10 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
33.838 N 78.484 W (33°50'19"" N 78°29'3"" W)

Site elevation: sea level
Water depth: 9.75 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
33.988 N 77.362 W (33°59'16"" N 77°21'42"" W)

Site elevation: sea level
Air temp height: 2.79 m above site elevation
Anemometer height: 2.95 m above site elevation
Barometer elevation: 2.79 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 30 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
34.141 N 77.715 W (34°8'27"" N 77°42'53"" W)

Site elevation: sea level
Air temp height: 2.79 m above site elevation
Anemometer height: 2.95 m above site elevation
Barometer elevation: 2.79 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 18 m",realtime2,1
"Coastal Ocean Research and Monitoring Program (CORMP)
Moored Buoy
34.207 N 76.949 W (34°12'26"" N 76°56'56"" W)

Site elevation: sea level
Air temp height: 2.79 m above site elevation
Anemometer height: 2.95 m above site elevation
Barometer elevation: 2.79 m above mean sea level
Water depth: 30 m",realtime2,1
"Coastal Studies Institute, Louisiana State University
Shorebased Tower
28.867 N 90.483 W (28°52'0"" N 90°29'0"" W)

Site elevation: sea level
Air temp height: 10 m above site elevation
Anemometer height: 10 m above site elevation
Barometer elevation: 3 m above mean sea level
Sea temp depth: 1 m below MLLW",none,1
"Coastal Studies Institute, Louisiana State University
Shorebased Tower
29.053 N 90.533 W (29°3'12"" N 90°32'0"" W)

Site elevation: sea level
Air temp height: 10 m above site elevation
Anemometer height: 10 m above site elevation
Barometer elevation: 3 m above mean sea level
Sea temp depth: 1 m below MLLW",none,1
"Coastal Studies Institute, Louisiana State University
Shorebased Tower
29.101 N 89.978 W (29°6'5"" N 89°58'41"" W)

Air temp height: 10 m above site elevation
Anemometer height: 10 m above site elevation
Barometer elevation: 3 m above mean sea level
Sea temp depth: 1 m below MLLW",none,1
"Coastal Studies Institute, Louisiana State University
Shorebased Tower
29.441 N 92.061 W (29°26'28"" N 92°3'40"" W)

Site elevation: sea level
Air temp height: 20 m above site elevation
Anemometer height: 20 m above site elevation
Barometer elevation: 12 m above mean sea level
Sea temp depth: 2 m below MLLW",none,1
"Coastal Studies Institute, Louisiana State University
Shorebased Tower
29.517 N 91.550 W (29°31'0"" N 91°33'0"" W)

Site elevation: sea level
Anemometer height: 7.2 m above site elevation",none,1
"Coastal Studies Institute, Louisiana State University
Shorebased Tower
30.267 N 89.017 W (30°16'0"" N 89°1'0"" W)

Site elevation: sea level
Anemometer height: 11 m above site elevation",none,1
"Cooperative Effort DART® 4G
Buoy
DART 4G payload
23.163 S 72.037 W (23°9'47"" S 72°2'13"" W)

Water depth: 4235 m",none,1
"Cooperative Effort DART® 4G
Buoy
DART 4G payload
32.130 S 73.797 W (32°7'48"" S 73°47'49"" W)

Water depth: 4204 m",none,1
"Cooperative Effort DART® 4G
Buoy
DART 4G payload
35.758 S 75.243 W (35°45'29"" S 75°14'35"" W)",none,1
"Delaware Coastal Management Program
Moored Buoy
38.883 N 75.183 W (38°53'0"" N 75°11'0"" W)

Site elevation: sea level
Water depth: 7.9 m",none,1
"Delaware Coastal Management Program
Moored Buoy
39.122 N 75.256 W (39°7'20"" N 75°15'20"" W)",none,1
"Direccion General Maritima (DIMAR)Centro Control Contaminacion del Pacifico (CCCP)
Offshore Buoy
11.161 N 74.681 W (11°9'41"" N 74°40'51"" W)

Water depth: 150 m",none,1
"Direccion General Maritima (DIMAR)Centro Control Contaminacion del Pacifico (CCCP)
Offshore Buoy
12.351 N 72.218 W (12°21'4"" N 72°13'4"" W)

Water depth: 150 m",none,1
"Direccion General Maritima (DIMAR)Centro Control Contaminacion del Pacifico (CCCP)
Offshore Buoy
3.517 N 77.737 W (3°31'0"" N 77°44'13"" W)

Water depth: 150 m",none,1
"Direccion General Maritima (DIMAR)Centro Control Contaminacion del Pacifico (CCCP)
Offshore Buoy
6.258 N 77.511 W (6°15'27"" N 77°30'40"" W)

Water depth: 150 m",none,1
"Dirección General Marítima (DIMAR) - Colombia
2.6-meter discus buoy
EBM22TS (MSM Tsunami Warning System)
2.998 N 79.101 W (2°59'54"" N 79°6'5"" W)

Water depth: 2763 m",none,1
"Environment and Climate Change Canada
3-meter discus buoy
42.460 N 81.220 W (42°27'36"" N 81°13'12"" W)

Site elevation: 174 m above mean sea level
Anemometer height: 5 m above site elevation
Water depth: 22 m",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
42.740 N 79.290 W (42°44'24"" N 79°17'24"" W)

Site elevation: 174 m above mean sea level
Anemometer height: 5 m above site elevation
Water depth: 27 m",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
43.250 N 79.530 W (43°15'0"" N 79°31'48"" W)

Site elevation: 75 m above mean sea level
Anemometer height: 5 m above site elevation
Water depth: 35 m",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
43.590 N 79.390 W (43°35'24"" N 79°23'24"" W)

Site elevation: 75 m above mean sea level
Anemometer height: 5 m above site elevation
Water depth: 55 m",none,1
"Environment and Climate Change Canada
3-meter discus buoy
43.770 N 78.980 W (43°46'12"" N 78°58'48"" W)

Site elevation: 75 m above mean sea level
Anemometer height: 5 m above site elevation
Water depth: 54 m",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
43.780 N 76.870 W (43°46'48"" N 76°52'12"" W)

Site elevation: 75 m above mean sea level
Anemometer height: 5 m above site elevation
Water depth: 68 m",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
44.500 N 63.400 W (44°30'0"" N 63°24'0"" W)

Site elevation: sea level
Anemometer height: 5 m above site elevation
Water depth: 58 m",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
44.660 N 66.370 W (44°39'36"" N 66°22'12"" W)

Site elevation: sea level",none,1
"Environment and Climate Change Canada
3-meter discus buoy
44.940 N 80.627 W (44°56'24"" N 80°37'36"" W)

Site elevation: 177 m above mean sea level
Anemometer height: 5 m above site elevation
Water depth: 50 m",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
45.440 N 60.950 W (45°26'24"" N 60°57'0"" W)

Site elevation: sea level",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
45.490 N 61.140 W (45°29'24"" N 61°8'24"" W)

Site elevation: sea level",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
48.650 N 123.500 W (48°39'0"" N 123°30'0"" W)

Site elevation: sea level
Anemometer height: 5 m above site elevation
Water depth: 160 m",none,1
"Environment and Climate Change Canada
3-meter discus buoy
48.840 N 126.000 W (48°50'24"" N 126°0'0"" W)

Site elevation: sea level
Anemometer height: 5 m above site elevation
Water depth: 72 m",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
49.020 N 123.430 W (49°1'12"" N 123°25'48"" W)

Site elevation: sea level",realtime2,1
"Environment and Climate Change Canada
3-meter discus buoy
49.300 N 123.360 W (49°18'0"" N 123°21'36"" W)

Site elevation: sea level",none,1
